trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.01, 'e': 0.43171052342907973}",25,0,-61.44350191877865,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.4274149319487267}",20,0,-20.71303598034633,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,10,15.625430295075452,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.418951549247639}",30,0,-108.42489724124171,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.4147829116815814}",30,0,-63.46073645459553,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
90,False,"{'a': 0.01, 'e': 0.4106557527523455}",25,0,-70.9131379579842,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.4065696597405991}",30,0,-105.89728081003872,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
92,False,"{'a': 0.01, 'e': 0.40252422403363597}",35,0,26.762191061976043,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.39851904108451414}",20,0,-11.443850674379819,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.3945537103716011}",20,0,-14.048760685632212,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.3906278353585211}",20,10,-30.294189916519954,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.3867410234545012}",25,17,-24.616856614265892,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.38289288597511206}",30,9,-57.731233001149825,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.37908303810339883}",30,0,-17.339958204122677,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.37531109885139957}",20,0,-0.5524214843866436,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.3715766910220457}",25,3,-97.54084377626008,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 2}",1
101,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,16,6.946244733601162,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3642189795715233}",20,9,2.744648888752499,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.3605949401730783}",25,0,-3.804747107034779,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.3570069605691474}",25,0,-29.358065919657896,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.35345468195878016}",25,0,-79.89906152817959,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.3499377491111553}",25,11,-0.7235980981952204,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.3464558103300574}",20,0,-24.626636796073292,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
108,False,"{'a': 0.01, 'e': 0.34300851741870664}",20,0,-63.87114299769304,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,9,-38.640962463196345,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.33621649370673334}",25,11,-27.66632004592475,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.33287108369807955}",25,17,11.53628797440722,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.32955896107518906}",20,14,11.00702504705026,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
